REGION_ID,REGION_CODE,REGION_NAME,TOTAL_CO2,POWER,INDUSTRY,SURFACE_TRANSPORT,PUBLIC,RESIDENTIAL,AVIATION
None,None,None,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day
0,ALB,Albania,0.0128459784973529,0.00053837924,0.004845413,0.00565924195689149,0.00110179930925369,0.0006510633,5.01E-05
1,DZA,Algeria,0.432617594953626,0.14676574,0.06484997,0.137806194368749,0.0119460485875606,0.06655655,0.00469308998435735
2,AGO,Angola,0.104179339134134,0.03027919,0.015801951,0.036240407731384,0.00927300192415714,0.0074751754,0.00510961341205984
3,ARG,Argentina,0.552309304941445,0.19874564,0.09642646,0.135532728396356,0.0439276099205017,0.063748606,0.0139282657764852
4,ARM,Armenia,0.0157516961335204,0.0036021322,0.0017400129,0.00480793043971061,0.00164843339007347,0.0034800258,0.0004731614026241
5,AUS,Australia,1.19734167447313,0.6723534,0.12203675,0.26825059717521,0.0391438640654087,0.027630962,0.0679261162877082
6,AUT,Austria,0.195099900622153,0.058114864,0.0367935,0.069058573411894,0.00566053856164217,0.019057147,0.00641527732659596
7,AZE,Azerbaijan,0.102704019955126,0.04565743,0.007861544,0.0214680634380783,0.00503945117816329,0.017940447,0.00473708438221365
8,BHR,Bahrain,0.0897731295845005,0.067053296,0.006807441,0.0109769984264858,0,0.0007658371,0.00416955750552006
9,BGD,Bangladesh,0.239234761684201,0.11010903,0.053528484,0.0335726902121678,0.0115039283409714,0.026999017,0.00352161074988544
10,BLR,Belarus,0.180407709311111,0.09863245,0.02187847,0.0356870107352733,0.00842859037220478,0.014346537,0.00143465386645402
11,BEL,Belgium,0.358248648233711,0.06526023,0.061437458,0.145265460014343,0.0256672035902738,0.046692472,0.0139258233830332
12,BEN,Benin,0.0198415781105723,0.0005288476,0.002957629,0.0157479060126206,0.000117521696665789,0.00025463034,0.000235043393331579
13,BOL,Bolivia,0.0616627520648762,0.014089116,0.009209768,0.0215911120176315,0.0115884495899081,0.0036595105,0.00152479612734168
14,BIH,Bosnia and Herzegovina,0.0594355422545049,0.04013829,0.0065907543,0.00985644292086362,0.00106877088546752,0.0017219087,5.94E-05
15,BWA,Botswana,0.018354686882958,0.01013617,0.0017532835,0.00600864877924323,0.000273950543487444,7.31E-05,0.000109580218122573
16,BRA,Brazil,1.30017444118857,0.2768194,0.30688125,0.571174914017319,0.0475979037582874,0.051355638,0.0463453289121389
17,BRN,Brunei Darussalam,0.0224633134785108,0.015489693,0.0013686545,0.00430148560553789,0.000260696106124669,0.00030414545,0.000738638977054506
18,BGR,Bulgaria,0.124631308623065,0.07646167,0.015487453,0.0260969669325277,0.00219507189467549,0.0023170204,0.00207312360726064
19,KHM,Cambodia,0.0292802657349966,0.01036772,0.0031900678,0.0129026854410767,0.00128172372933477,0.0004272412,0.00111082714283838
20,CMR,Cameroon,0.0224720699461613,0.007022522,0.0038568135,0.00956400576978921,0.000312112097162753,0.0015159731,0.000200643493371899
21,CAN,Canada,1.56352294748649,0.6026727,0.20712008,0.439156836830079,0.157286673784255,0.107453264,0.0498334006406366
22,CHL,Chile,0.241630884469486,0.098581634,0.041408993,0.0710540685104206,0.0105875274166464,0.010822805,0.00917585613206029
23,CHN,China,27.7399270683527,13.48392,9.678643,2.31625634431839,0.937532365322113,1.0478302,0.275744810700416
24,COL,Colombia,0.28221459937049,0.055696744,0.07168624,0.106063656043261,0.0231847669929265,0.011992122,0.0135910717654041
25,COG,Congo,0.00913561737979762,0.0036825745,0.0013278513,0.00351437996141612,6.20E-05,0.00015934215,0.000389503060432616
26,CRI,Costa Rica,0.0236898901239328,0.00015454728,0.0037312128,0.0155430408194661,0.00211950554512441,0.0005077982,0.00163378545039449
27,CIV,Cote d'Ivoire,0.0246890160888142,0.008781382,0.0031723317,0.00855150260031223,0.00179305707570165,0.0011953714,0.00119537142381886
28,HRV,Croatia,0.0522840393387014,0.013096489,0.010599494,0.0190077451261458,0.00372001435607671,0.004484401,0.00137589577934704
29,CUB,Cuba,0.083263172651641,0.03198811,0.032693733,0.00823223497718572,0.00736980978399515,0.0018032514,0.0011760335182771
30,CUW,Curacao,0.035836630850099,0.008456003,0.0015920716,0.024451816920191,0,0.0005857622,0.000750977196730673
31,CYP,Cyprus,0.0253244540654122,0.009070833,0.00428915,0.00781897688284516,0.000554100726731121,0.0010055901,0.0025858033914119
32,CZE,Czech Republic,0.293453445774503,0.16312644,0.03918518,0.0516663864254951,0.0127714658156037,0.023220846,0.00348312698770314
33,PRK,North Korea,0.0827077841386199,0.012335796,0.052240852,0.00521580642089247,0.0125013766810297,0.00041395286,0
34,COD,Democratic Republic of the Congo,0.00649582234518675,1.67E-05,0.0003180944,0.00524018658325076,0,5.58E-06,0.00091521895956248
35,DNK,Denmark,0.108720742893638,0.033569913,0.014305362,0.0399596407078206,0.00610362086445093,0.0060082516,0.00877395484712906
36,DOM,Dominica,0.00053922651591165,0.00023388138,7.45E-05,0.000149923958815634,9.99E-06,3.05E-05,4.05E-05
37,ECU,Ecuador,0.121152653591707,0.021359615,0.014813926,0.0624711306300014,0.0115985013544559,0.0074643814,0.00344509910792112
38,EGY,Egypt,0.660178255289793,0.27872738,0.15244949,0.162263839039951,0.00916005577892065,0.048417434,0.00916005531325936
39,SLV,El Salvador,0.0211951879646221,0.0028325366,0.0047860104,0.0107245696708559,5.86E-05,0.0011134798,0.00167998729739338
40,ERI,Eritrea,0.00210678240728157,0.0010381835,0.00027982288,0.000545451825018972,2.64E-05,0.00013991144,7.71E-05
41,EST,Estonia,0.0574446922983042,0.04008268,0.0030544284,0.0112531573977321,0.00192911259364336,0.0005358646,0.000589451112318784
42,ETH,Ethiopia,0.0457067207316868,0,0.01992764,0.0158357210457324,0.0033144534099847,0.0013912522,0.00523765460820868
43,FIN,Finland,0.138006274180952,0.05921911,0.02394512,0.036432625260204,0.0083679175004363,0.0034759045,0.00656559696653857
44,FRA,France,0.99892759649083,0.17590013,0.1407201,0.381425565108656,0.109243243932724,0.12683325,0.0648053116165101
45,GAB,Gabon,0.017660332378,0.0042572706,0.0054023294,0.00557849230244755,0.000748692371416837,0.00076337263,0.000910175091121345
