REGION_ID,REGION_CODE,REGION_NAME,TIME_POINT,DATE,TOTAL_CO2_MED,PWR_CO2_MED,IND_CO2_MED,TRS_CO2_MED,PUB_CO2_MED,RES_CO2_MED,AVI_CO2_MED,TOTAL_CO2_LOW,PWR_CO2_LOW,IND_CO2_LOW,TRS_CO2_LOW,PUB_CO2_LOW,RES_CO2_LOW,AVI_CO2_LOW,TOTAL_CO2_HIGH,PWR_CO2_HIGH,IND_CO2_HIGH,TRS_CO2_HIGH,PUB_CO2_HIGH,RES_CO2_HIGH,AVI_CO2_HIGH
94,NGA,Nigeria,148,5/27/20,-0.0944313683872003,-0.00465582876884682,-0.00847465485482035,-0.0756092648112664,-0.000721914997847423,0,-0.00496970495441928,-0.0700292432910019,0,0,-0.0658965412126778,-0.000156938042501927,-0.000331313656923378,-0.0036444503788988,-0.126282813259675,-0.0139674866534267,-0.0197741935387391,-0.0853219828544778,-0.00125550434001541,0.000331313656923378,-0.00629495952993976
94,NGA,Nigeria,149,5/28/20,-0.0944313683872003,-0.00465582876884682,-0.00847465485482035,-0.0756092648112664,-0.000721914997847423,0,-0.00496970495441928,-0.0700292432910019,0,0,-0.0658965412126778,-0.000156938042501927,-0.000331313656923378,-0.0036444503788988,-0.126282813259675,-0.0139674866534267,-0.0197741935387391,-0.0853219828544778,-0.00125550434001541,0.000331313656923378,-0.00629495952993976
94,NGA,Nigeria,150,5/29/20,-0.0944313683872003,-0.00465582876884682,-0.00847465485482035,-0.0756092648112664,-0.000721914997847423,0,-0.00496970495441928,-0.0700292432910019,0,0,-0.0658965412126778,-0.000156938042501927,-0.000331313656923378,-0.0036444503788988,-0.126282813259675,-0.0139674866534267,-0.0197741935387391,-0.0853219828544778,-0.00125550434001541,0.000331313656923378,-0.00629495952993976
94,NGA,Nigeria,151,5/30/20,-0.0858261810769913,-0.00399071037329727,-0.00887820980781745,-0.0675830045541078,-0.000641204004226638,0,-0.00473305233754217,-0.0604535314714415,0,0,-0.0565325712116609,-0.000134518322144508,-0.000283983134505752,-0.0035024588031303,-0.116966174127496,-0.0119721314172229,-0.0193706387060107,-0.0786334331385148,-0.0011209860178709,0.000283983134505752,-0.00615296798238244
94,NGA,Nigeria,152,5/31/20,-0.0772209937667824,-0.00332559197774772,-0.00928176476081454,-0.0595567442969492,-0.000560493010605852,0,-0.00449639972066506,-0.0508778196518811,0,0,-0.0471686012106441,-0.00011209860178709,-0.000236652612088127,-0.0033604672273618,-0.107649534995316,-0.00997677618101909,-0.0189670838732824,-0.0719448834225518,-0.000986467695726398,0.000236652612088127,-0.00601097643482513
94,NGA,Nigeria,153,6/1/20,-0.0686158064565735,-0.00266047358219818,-0.00968531971381164,-0.0515304840397906,-0.000479782016985067,0,-0.00425974710378795,-0.0413021078323207,0,0,-0.0378046312096272,-8.97E-05,-0.000189322089670501,-0.00321847565159329,-0.0983328958631374,-0.00798142094481527,-0.018563529040554,-0.0652563337065888,-0.000851949373581889,0.000189322089670501,-0.00586898488726782
94,NGA,Nigeria,154,6/2/20,-0.0600106191463646,-0.00199535518664863,-0.0100888746668087,-0.043504223782632,-0.000399071023364282,0,-0.00402309448691085,-0.0317263960127603,0,0,-0.0284406612086103,-6.73E-05,-0.000141991567252876,-0.00307648407582479,-0.089016256730958,-0.00598606570861145,-0.0181599742078257,-0.0585677839906258,-0.00071743105143738,0.000141991567252876,-0.0057269933397105
94,NGA,Nigeria,155,6/3/20,-0.0514054318361556,-0.00133023679109909,-0.0104924296198058,-0.0354779635254735,-0.000318360029743497,0,-0.00378644187003374,-0.0221506841931999,0,0,-0.0190766912075935,-4.48E-05,-9.47E-05,-0.00293449250005629,-0.0796996175987787,-0.00399071047240763,-0.0177564193750973,-0.0518792342746628,-0.000582912729292871,9.47E-05,-0.00558500179215319
94,NGA,Nigeria,156,6/4/20,-0.0428002445259467,-0.000665118395549545,-0.0108959845728029,-0.0274517032683149,-0.000237649036122712,0,-0.00354978925315663,-0.0125749723736395,0,0,-0.00971272120657669,-2.24E-05,-4.73E-05,-0.00279250092428778,-0.0703829784665993,-0.00199535523620381,-0.017352864542369,-0.0451906845586998,-0.000448394407148362,4.73E-05,-0.00544301024459588
94,NGA,Nigeria,157,6/5/20,-0.0341950572157378,0,-0.0112995395258,-0.0194254430111563,-0.000156938042501927,0,-0.00331313663627952,-0.00299926055407912,0,0,-0.000348751205559837,0,0,-0.00265050934851928,-0.06106633933442,0,-0.0169493097096407,-0.0385021348427368,-0.000313876085003854,0,-0.00530101869703857
