REGION_ID,REGION_CODE,REGION_NAME,TIME_POINT,DATE,TOTAL_CO2_MED,PWR_CO2_MED,IND_CO2_MED,TRS_CO2_MED,PUB_CO2_MED,RES_CO2_MED,AVI_CO2_MED,TOTAL_CO2_LOW,PWR_CO2_LOW,IND_CO2_LOW,TRS_CO2_LOW,PUB_CO2_LOW,RES_CO2_LOW,AVI_CO2_LOW,TOTAL_CO2_HIGH,PWR_CO2_HIGH,IND_CO2_HIGH,TRS_CO2_HIGH,PUB_CO2_HIGH,RES_CO2_HIGH,AVI_CO2_HIGH
None,None,None,Days,Date,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day
90,NLD,Netherlands,213,7/31/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,214,8/1/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,215,8/2/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,216,8/3/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,217,8/4/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,218,8/5/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,219,8/6/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,220,8/7/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,221,8/8/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,222,8/9/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,223,8/10/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,224,8/11/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,225,8/12/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,226,8/13/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,227,8/14/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,228,8/15/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,229,8/16/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,230,8/17/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,231,8/18/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,232,8/19/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,233,8/20/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
90,NLD,Netherlands,234,8/21/20,-0.0633433093729124,0,-0.0148782613110283,-0.029535118930565,-0.00210332556967922,0,-0.0168266035616397,-0.0238672096113444,0,0,-0.0104059265614439,0,0,-0.0134612830499005,-0.102110921834948,0,-0.0223173925208008,-0.0486643120749882,-0.00420665113935844,0,-0.0269225660998011
