REGION_ID,REGION_CODE,REGION_NAME,TOTAL_CO2,POWER,INDUSTRY,PUBLIC,RESIDENTIAL,SURFACE_TRANSPORT,NAT. AVIATION,,,,
None,None,None,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,,,,
54,HKG,Hong Kong,0.11820389,0.07104054,0.020922089,0.00212767,0.00212767,0.021985924,0,,,,
55,HUN,Hungary,0.1365941,0.040022075,0.023357593,0.012703252,0.022811214,0.03769997,0,,,,
56,ISL,Iceland,0.009946878,2.98E-05,0.002616029,0.002655816,4.97E-05,0.004486042,9.95E-05,,,,
57,IND,India,7.2715096,3.6284833,2.1523669,0.2835889,0.26904586,0.8943957,0.036357548,,,,
58,IDN,Indonesia,1.6847024,0.7008362,0.4262297,0.03537875,0.0707575,0.42454502,0.028639942,,,,
59,IRN,Iran,1.9737382,0.678966,0.38882643,0.09868691,0.36316782,0.44409108,0,,,,
60,IRQ,Iraq,0.55938333,0.36024287,0.0503445,0,0.0369193,0.112436056,0,,,,
61,IRL,Ireland,0.1066606,0.03402473,0.016745714,0.0070396,0.015785769,0.032958124,0,,,,
62,ISR,Israel,0.17606516,0.104582705,0.017078321,0.00581015,0.000880326,0.047537595,0.000176065,,,,
63,ITA,Italy,0.9261006,0.34080502,0.11113207,0.068531446,0.13058019,0.2676431,0.006482705,,,,
64,JAM,Jamaica,0.022440365,0.007854127,0.007270678,0.000964936,0.000201963,0.00614866,0,,,,
65,JPN,Japan,3.1835098,1.6204065,0.636702,0.20374463,0.162359,0.5348296,0.028651588,,,,
66,JOR,Jordan,0.065990165,0.026396066,0.009898525,0.002903567,0.004685302,0.022040714,6.60E-05,,,,
67,KAZ,Kazakhstan,0.8816077,0.5192669,0.22657318,0.031737875,0.054659676,0.048488423,0.000881608,,,,
68,KEN,Kenya,0.05064723,0.005368606,0.01716941,0.000810356,0.004001131,0.023297725,5.06E-05,,,,
69,KOR,South Korea,1.8048979,1.0540603,0.27975917,0.07039102,0.101074286,0.28697875,0.010829387,,,,
70,RKS,Kosovo,0.024347298,0.016142258,0.003189496,0.001193018,0.000219126,0.0036034,0,,,,
71,KWT,Kuwait,0.26866266,0.16845149,0.05856846,0,0.002686627,0.038956083,0,,,,
72,KGZ,Kyrgyzstan,0.02761974,0.004584877,0.004004862,0.001270508,0.012290784,0.005441089,2.76E-05,,,,
73,LVA,Latvia,0.019700393,0.004353787,0.002935359,0.002186744,0.001280526,0.008963679,1.97E-05,,,,
74,LBN,Lebanon,0.06637573,0.035511017,0.007965088,0.000199127,0.001593018,0.021107482,0,,,,
75,LBY,Libya,0.14798816,0.0736981,0.010951123,0,0.004291656,0.058899287,0.000147988,,,,
76,LTU,Lithuania,0.037135515,0.00861544,0.005310379,0.001893911,0.00248808,0.018901978,0,,,,
77,LUX,Luxembourg,0.026251197,0.000787536,0.003832675,0.001837584,0.003202646,0.016590757,0,,,,
78,MYS,Malaysia,0.697333,0.34587714,0.1331906,0.017433325,0.009762662,0.1861879,0.006275997,,,,
79,MLT,Malta,0.004338123,0.002030242,0.000151834,0.00029933,0.000121467,0.001726573,4.34E-06,,,,
80,MUS,Mauritius,0.013301253,0.00806056,0.001037498,0.000172916,0.000452243,0.003511531,6.65E-05,,,,
81,MEX,Mexico,1.3077321,0.54663205,0.24585363,0.04184743,0.047078352,0.42501292,0,,,,
82,MDA,Moldova,0.014047042,0.005183358,0.002725126,0.001011387,0.001573269,0.003553901,0,,,,
83,MNG,Mongolia,0.07702121,0.050525915,0.007779143,0.00446723,0.005930633,0.00824127,7.70E-05,,,,
84,MNE,Montenegro,0.005502428,0.003108872,0.000478711,0.000115551,3.30E-05,0.001771782,0,,,,
85,MAR,Morocco,0.1816706,0.06213135,0.043782614,0.008720189,0.018348731,0.04850605,0.000181671,,,,
86,MOZ,Mozambique,0.022701489,0.003473328,0.004040865,0.00365494,0.000272418,0.011282641,0,,,,
87,MMR,Myanmar,0.072149694,0.02121201,0.02121201,0.016017232,7.21E-05,0.012842646,0.000793647,,,,
88,NAM,Namibia,0.011705301,0.000234106,0.001849438,0.004073445,1.17E-05,0.005478081,4.68E-05,,,,
89,NPL,Nepal,0.025884459,0,0.009525481,0.003287326,0.001786028,0.011285624,0,,,,
90,NLD,Netherlands,0.44280538,0.19262034,0.074391305,0.04206651,0.04605176,0.08723266,0,,,,
91,NZL,New Zealand,0.09524873,0.02028798,0.020192731,0.007334152,0.001714477,0.04276668,0.002857462,,,,
92,NIC,Nicaragua,0.015264101,0.004060251,0.002625426,0.001480618,0.000457923,0.00662462,3.05E-05,,,,
93,NER,Niger,0.006353724,0.001607492,0.000711617,8.90E-05,0.000146136,0.003774112,1.91E-05,,,,
94,NGA,Nigeria,0.34875122,0.093116574,0.056497697,0.003138761,0.006626273,0.1872794,0.001743756,,,,
95,MKD,North Macedonia,0.019913504,0.010494417,0.003265815,0.000657146,9.96E-05,0.005396559,0,,,,
96,NOR,Norway,0.12144196,0.048091017,0.024166951,0.006679308,0.000728652,0.03801133,0.003643259,,,,
97,OMN,Oman,0.18435912,0.06839723,0.04996132,0.030787973,0.001659232,0.03355336,0,,,,
98,PAK,Pakistan,0.61243945,0.17332037,0.20700453,0.014086108,0.050832473,0.16597109,0.001224879,,,,
99,PAN,Panama,0.029967677,0.005903632,0.008031338,0.000629321,0.001738125,0.013545389,0.000119871,,,,
100,PRY,Paraguay,0.02035947,0,0.001364085,0,0.000549706,0.01844568,0,,,,
101,PER,Peru,0.15214089,0.041990884,0.033318855,0.0033471,0.007302763,0.064203456,0.002282113,,,,
102,PHL,Philippines,0.37005222,0.17429459,0.074380495,0.019242715,0.008511202,0.089182585,0.004070574,,,,
103,POL,Poland,0.9411999,0.47907075,0.11388519,0.054589592,0.109179184,0.18447517,0,,,,
104,PRT,Portugal,0.13952163,0.06417995,0.02148633,0.005720387,0.004464692,0.042414572,0.001255695,,,,
105,QAT,Qatar,0.28937778,0.18606992,0.054403022,0,0.001446889,0.04716858,0,,,,
106,ROU,Romania,0.20290607,0.084206015,0.041392837,0.010956928,0.017855734,0.047885835,0.000405812,,,,
107,RUS,Russian Federation,4.686817,2.516821,0.84831387,0.09842316,0.48274216,0.69364893,0.04686817,,,,
108,SAU,Saudi Arabia,1.7021974,0.8442899,0.46299773,0,0.015319776,0.37107903,0.010213185,,,,
109,SEN,Senegal,0.032084666,0.009946247,0.010620024,0.000128339,0.001283387,0.01010667,0,,,,
110,SRB,Serbia,0.12450429,0.08677949,0.013695472,0.003361616,0.003984137,0.01655907,0,,,,
111,SGP,Singapore,0.11194964,0.062355947,0.0317937,0.000895597,0.000447799,0.016344646,0,,,,
112,SVK,Slovakia,0.098707646,0.0348438,0.026848482,0.005725043,0.00839015,0.022900173,0,,,,
113,SVN,Slovenia,0.039539117,0.014115465,0.006207642,0.001660643,0.001937417,0.015578412,0,,,,
114,ZAF,South Africa,1.2809922,0.8390498,0.15371905,0.05892564,0.069173574,0.15500005,0.006404961,,,,
115,SSD,South Sudan,0.00512445,0.002116398,0.000169107,0.000256223,3.07E-05,0.002393118,0.000163982,,,,
116,ESP,Spain,0.7348872,0.2755827,0.11096796,0.044828117,0.04703278,0.23883833,0.017637292,,,,
117,LKA,Sri Lanka,0.06402319,0.026441576,0.00460967,0.001792649,0.002048742,0.029066527,6.40E-05,,,,
118,SDN,Sudan,0.057660617,0.014472814,0.008591432,0.001960461,0.001037891,0.031194394,0.000518946,,,,
119,SUR,Suriname,0.004895405,0.002016907,0.000308411,0.000861591,0.000107699,0.001595902,0,,,,
120,SWE,Sweden,0.112402335,0.028212985,0.022930076,0.004158887,0.000449609,0.055189546,0.001573633,,,,
121,CHE,Switzerland,0.10102313,0.008081851,0.018285185,0.012122775,0.02161895,0.040510274,0.000404093,,,,
122,SYR,Syria,0.07747067,0.04051716,0.009993715,0.004183416,0.006120183,0.016036429,0.000619765,,,,
123,TWN,Tapei,0.7524466,0.49811965,0.12565857,0.014296485,0.011286698,0.10158029,0.000752447,,,,
124,TJK,Tajikistan,0.015026286,0.002283996,0.004868517,0.002524416,0.002554469,0.002779863,0,,,,
125,TZA,Tanzania,0.034243606,0.007259645,0.009280018,0.000205462,0.001301257,0.015580841,0.000616385,,,,
126,THA,Thailand,0.7896689,0.3150779,0.20136558,0.031586755,0.013424372,0.21952796,0.008686358,,,,
127,TGO,Togo,0.009364287,6.56E-05,0.003249408,0,0.000749143,0.005300187,0,,,,
128,TTO,Trinidad and Tobago,0.11911546,0.078854434,0.017986434,0.000119115,0.002382309,0.01786732,0.002024963,,,,
129,TUN,Tunisia,0.08651115,0.02699148,0.025520789,0.005796247,0.006055781,0.022146855,0,,,,
130,TUR,Turkey,1.1730947,0.44694912,0.29913914,0.095020674,0.098539956,0.222888,0.010557853,,,,
131,TKM,Turkmenistan,0.21888675,0.08076921,0.011382111,0.08864913,0.001532207,0.036554087,0,,,,
132,UKR,Ukraine,0.61648816,0.30392867,0.12329763,0.021577086,0.07767751,0.09000727,0,,,,
133,ARE,United Arab Emirates,0.56329405,0.25235575,0.19546303,0,0.00281647,0.10984234,0.00281647,,,,
134,GBR,United Kingdom,1.0384655,0.32607818,0.11838507,0.065423325,0.18069299,0.34165514,0.007269259,,,,
135,USA,USA,14.839117,6.3808203,1.4542334,0.8013123,0.890347,4.793035,0.5342082,,,,
136,URY,Uruguay,0.019024273,0.001027311,0.003386321,0.001750233,0.001274626,0.01152871,5.71E-05,,,,
137,UZB,Uzbekistan,0.25004166,0.1272712,0.037006166,0.018253041,0.05250875,0.014252375,0.001000167,,,,
138,VEN,Venezuela,0.380177,0.1684184,0.08630018,0.004181947,0.012165665,0.10949097,0,,,,
139,VNM,Vietnam,0.56619424,0.18288074,0.24176493,0.017552022,0.026044935,0.092289664,0.005661942,,,,
140,YEM,Yemen,0.027782587,0.009973949,0.005389822,0.000889043,0.004111823,0.00741795,0,,,,
141,ZMB,Zambia,0.014323385,0.003852991,0.005557473,0.002563886,2.86E-05,0.002334712,0,,,,
142,ZWE,Zimbabwe,0.033596434,0.017671725,0.005644201,0.002150172,0.000839911,0.007290426,0,,,,
228,EU27,EU27,7.664663076,3.056424181,1.155659699,0.531243853,0.861934141,2.035677746,0.027002572,Int. Avi,Int. Shi,,
229,GLOBAL,Global,100.0108963,44.36586571,22.19338029,4.238279096,5.699845034,18.81547513,1.128935204,1.675358185,1.893757614,,INCLUDES INT AVI/SHI
